time_till_back_in_prison,drinking_prolem_yes,drug_history_yes,supervised_release_yes,married_when_jailed_yes,felony_sentence_yes,prison_work_program_yes,property_crime_yes,crime_against_person_yes,prior_convictions,years_of_education,rule_violations_in_prison,age_in_months,time_served_in_months
43,0,0,1,0,0,1,0,0,1,8,3,286,19
30,0,1,1,0,0,0,1,0,4,7,0,289,13
78,1,1,1,0,1,1,1,0,0,10,7,264,72
29,1,0,0,0,0,0,0,0,5,8,0,311,4
53,0,0,1,0,0,1,0,0,7,10,3,308,43
78,0,1,1,0,0,1,0,0,0,10,0,315,7
52,1,0,0,0,0,0,0,0,0,10,0,213,7
73,1,0,0,0,0,0,0,0,28,9,0,707,7
65,0,0,1,0,0,0,0,0,0,11,1,262,15
74,0,0,0,1,1,0,1,0,0,6,0,312,24
70,0,1,1,0,0,1,0,0,0,11,1,335,8
75,0,0,1,0,0,0,0,0,0,3,0,860,11
4,0,0,0,0,1,1,1,0,5,9,4,311,61
59,0,0,1,0,0,1,0,0,0,12,2,363,28
79,0,0,0,0,1,1,0,1,2,5,1,262,24
78,0,1,0,1,0,0,0,0,5,8,1,403,6
37,0,1,1,0,0,1,0,0,1,8,1,263,13
2,0,1,1,0,0,1,0,0,7,9,3,485,35
70,1,1,1,0,0,1,0,0,4,10,0,313,7
74,0,0,1,1,0,1,0,0,1,12,1,275,17
5,0,0,1,0,0,0,0,0,0,12,0,311,8
50,0,1,0,0,0,0,0,0,0,10,4,227,8
56,0,0,1,1,1,1,0,0,0,9,3,284,26
72,1,1,1,1,1,1,0,0,0,9,0,392,29
72,0,0,1,0,1,1,0,1,5,3,0,708,40
72,1,0,1,0,1,0,0,1,0,9,0,303,44
68,0,1,1,1,1,1,1,0,7,10,4,401,44
78,0,0,0,0,0,0,0,0,1,7,0,284,6
77,0,1,0,0,0,0,0,0,1,8,0,591,6
78,0,1,1,0,0,0,0,0,0,9,0,230,13
9,0,1,1,0,0,1,1,0,0,11,1,288,12
7,0,0,1,1,0,1,0,0,2,8,1,425,8
81,0,0,1,0,1,1,1,0,4,4,1,488,29
81,1,0,0,0,0,0,0,0,6,12,1,454,16
71,0,0,1,0,1,0,0,1,1,12,0,350,9
21,0,0,1,0,0,0,0,0,0,10,1,222,11
38,0,1,1,0,0,0,0,0,1,9,1,259,10
33,0,0,0,0,0,0,0,0,0,9,0,238,10
4,1,0,1,0,0,0,0,0,2,9,3,240,15
2,0,0,1,1,0,1,0,0,1,11,0,563,17
73,0,0,0,0,0,1,0,0,2,13,1,413,32
74,0,0,1,0,0,0,0,0,0,10,1,223,5
31,1,1,1,0,0,0,0,0,0,9,0,259,3
70,0,0,1,0,1,1,1,0,0,12,2,253,23
79,0,1,1,0,1,1,1,0,5,10,5,363,56
11,0,0,1,0,0,0,0,0,0,9,0,227,7
77,0,0,0,0,0,1,0,0,5,8,0,486,9
73,0,0,0,1,0,1,0,0,0,12,0,310,12
80,0,1,1,0,0,1,0,0,19,3,0,631,22
76,0,1,1,0,0,0,0,0,7,4,0,786,19
6,1,0,1,1,1,1,1,0,2,9,7,309,23
45,1,0,1,0,0,0,0,0,0,9,0,236,5
48,0,0,0,0,0,0,0,0,1,7,3,244,9
76,0,0,1,0,1,1,0,1,0,9,1,298,24
12,0,1,0,0,0,0,0,0,0,10,0,208,7
77,0,0,1,0,0,0,0,0,0,8,0,322,6
74,1,0,1,0,0,0,0,0,2,11,0,416,5
76,0,0,1,0,1,0,1,0,0,13,0,369,24
17,0,1,0,0,0,0,0,0,0,10,1,255,10
72,0,0,1,0,0,1,0,0,2,4,3,610,164
78,1,0,1,1,0,1,0,0,0,9,0,258,3
81,0,0,0,0,0,1,0,0,0,6,3,413,10
76,0,0,0,0,1,0,1,0,1,11,21,258,31
78,0,1,1,0,0,0,1,0,2,7,0,407,10
10,0,1,0,1,1,0,1,0,12,5,1,439,36
71,1,0,1,1,0,0,0,0,3,9,0,570,0
16,0,0,1,0,1,1,1,0,1,11,0,307,34
17,0,1,0,0,0,0,0,0,0,10,1,257,6
34,0,0,1,0,1,1,1,0,3,8,0,332,17
70,0,1,1,0,1,1,0,0,0,12,1,304,5
75,0,0,0,1,1,1,0,0,6,11,7,310,43
70,0,0,1,0,0,0,0,0,1,11,0,247,5
35,0,1,1,0,0,1,0,0,8,8,1,499,12
2,0,0,1,0,0,0,0,1,2,10,1,327,15
79,1,1,0,0,0,0,0,0,7,8,0,633,12
10,1,0,1,1,0,1,0,0,0,11,0,330,6
73,0,1,1,0,0,1,0,0,1,9,0,332,11
73,0,0,1,1,1,1,0,0,0,14,0,372,23
76,0,0,1,0,0,0,0,0,0,10,9,248,45
74,1,0,1,1,0,1,0,0,6,9,0,444,4
70,1,0,1,0,0,1,0,0,0,12,0,424,3
77,0,0,1,1,0,1,0,0,0,12,0,568,18
70,1,0,0,1,0,0,0,0,2,6,1,305,6
24,1,1,0,0,0,0,0,0,0,12,0,313,15
10,1,0,1,1,1,1,1,0,0,11,0,371,20
20,0,1,0,0,0,1,0,1,0,9,0,427,17
76,0,0,1,0,1,1,1,0,0,12,1,344,11
78,0,1,1,0,0,1,0,0,1,5,1,503,6
76,0,1,0,0,1,0,0,0,1,12,3,280,34
79,0,0,0,0,0,0,0,0,0,14,1,297,5
72,0,0,0,0,1,0,1,0,0,12,1,315,30
71,0,1,1,1,0,0,0,0,7,12,2,362,20
15,0,0,1,0,0,0,0,0,2,9,10,314,40
55,1,0,1,0,0,0,1,0,0,10,0,216,9
3,0,0,1,0,1,0,1,0,4,9,4,294,103
76,0,0,0,0,1,1,1,0,5,9,12,276,42
71,0,1,1,0,0,1,0,0,0,12,0,298,17
76,0,0,0,0,1,1,1,0,2,10,8,280,28
73,0,0,1,0,1,1,1,0,1,10,0,328,34
70,0,0,1,0,0,1,0,0,1,12,1,319,23
6,1,0,1,0,0,1,0,0,14,5,0,457,10
72,0,0,1,0,0,0,0,0,0,10,1,297,8
16,0,0,1,0,0,0,0,0,1,8,1,236,6
80,0,0,0,0,0,0,0,0,1,11,2,272,9
76,0,0,0,0,1,0,1,0,0,12,1,258,35
80,0,0,0,0,0,1,0,0,0,12,0,247,9
70,1,0,1,0,0,0,0,0,3,6,0,768,7
75,0,0,1,0,1,0,1,0,1,11,0,261,38
7,1,1,0,0,1,0,0,0,13,9,3,416,36
73,0,1,0,0,0,0,0,0,6,8,4,362,14
18,0,0,0,0,0,1,1,0,6,10,6,279,49
71,0,0,1,0,0,0,0,0,0,9,0,209,5
75,1,1,1,0,0,0,0,0,2,9,0,291,4
23,1,0,0,0,0,0,0,0,4,10,0,281,6
80,0,0,0,1,0,0,0,0,4,4,1,536,8
3,0,0,0,1,0,0,0,0,3,12,2,340,25
66,0,0,0,0,0,0,0,0,7,15,3,554,11
75,0,0,1,1,1,1,1,0,0,8,0,318,28
76,0,0,1,0,1,1,1,0,2,10,2,341,66
26,0,1,0,0,1,0,0,0,0,9,7,249,25
59,0,0,0,0,0,0,0,0,0,8,1,245,11
72,0,0,1,1,1,0,0,1,0,8,3,322,22
77,0,1,0,0,0,0,0,0,0,10,0,580,6
80,0,0,1,0,1,0,1,0,0,10,0,240,14
77,0,0,0,1,0,1,0,0,4,6,0,509,8
25,0,0,1,0,1,1,1,0,0,9,2,267,36
41,0,0,0,0,1,1,1,0,8,11,1,424,43
74,0,0,1,0,1,1,0,1,0,8,0,251,29
71,0,0,1,1,1,1,1,0,0,12,0,367,28
6,0,0,1,1,1,0,1,0,20,10,2,588,56
76,0,0,0,1,1,1,1,0,11,11,1,481,42
72,0,0,1,0,0,1,0,0,0,10,0,240,13
15,1,1,1,1,0,0,0,0,3,14,1,762,11
74,0,0,1,1,1,0,0,1,0,12,0,342,24
76,0,0,1,1,1,0,1,0,0,10,1,289,13
77,0,0,1,0,0,1,0,0,0,12,1,302,16
66,0,0,1,0,0,0,0,1,3,6,0,387,4
78,0,0,1,0,1,0,1,0,0,12,2,360,16
71,0,0,0,1,0,1,0,0,2,11,4,316,34
5,0,0,1,0,1,0,1,0,1,10,1,249,46
79,0,1,1,0,1,1,1,0,1,9,0,324,29
81,0,0,0,0,0,1,0,0,0,14,1,319,4
70,0,0,1,1,0,1,0,0,1,10,0,365,28
74,1,0,1,0,0,0,0,0,2,10,1,486,7
78,1,0,1,1,0,0,1,0,0,3,0,698,7
78,0,0,1,0,1,0,1,0,4,4,9,531,219
7,1,1,1,0,1,1,0,1,3,10,3,257,46
14,0,0,0,0,1,1,1,0,0,11,8,310,39
8,0,0,0,1,0,1,0,0,1,9,0,398,10
72,0,1,0,0,0,0,0,0,0,11,0,253,3
81,0,0,1,0,1,0,1,0,0,8,1,251,17
79,0,0,0,1,0,1,0,0,0,12,0,347,6
10,0,1,1,0,1,1,1,0,2,10,5,353,70
76,1,0,0,0,0,0,0,0,3,9,1,359,6
76,0,0,0,0,0,1,0,0,10,12,2,475,19
71,0,0,0,0,1,0,1,0,0,9,1,267,23
77,0,0,1,1,0,1,0,0,0,12,0,334,8
72,1,0,1,0,0,1,0,0,1,12,2,313,28
78,0,0,1,1,1,1,1,0,3,10,0,400,23
70,0,0,1,0,0,1,0,0,2,12,2,285,13
2,0,0,0,0,0,1,0,0,1,9,1,250,18
70,1,0,1,0,0,1,0,0,0,10,0,249,11
75,0,0,1,0,1,1,1,0,1,10,1,341,36
11,0,0,0,0,0,0,0,0,0,10,0,254,5
80,0,0,0,1,0,1,0,0,1,14,0,338,8
51,0,0,1,0,0,0,0,0,3,12,0,259,7
78,0,0,1,0,0,0,0,0,0,10,0,232,14
60,1,0,0,0,0,1,0,0,2,4,0,633,6
2,0,1,0,0,0,0,0,0,5,10,2,310,10
71,0,0,1,0,0,0,0,0,0,12,1,262,17
71,0,0,1,0,0,0,0,0,0,9,0,249,23
72,0,0,0,1,1,1,0,0,0,11,3,354,35
74,0,0,1,0,0,0,0,0,0,11,0,268,15
50,0,1,1,0,0,1,0,0,1,10,2,382,16
32,0,0,1,0,0,1,0,0,3,10,1,270,26
81,0,0,1,0,1,0,0,0,0,9,2,259,20
73,0,1,1,0,0,1,0,0,3,12,0,332,21
79,0,1,0,0,1,1,1,0,15,10,3,319,40
74,1,0,1,0,0,1,0,0,0,10,0,430,4
78,0,1,1,0,0,0,0,0,0,11,0,220,4
20,0,1,1,0,0,0,0,0,0,9,1,231,6
72,0,0,0,0,0,0,0,0,0,11,0,289,14
8,0,0,1,0,1,1,1,0,2,12,10,240,96
77,0,0,1,1,0,0,0,0,0,12,0,340,7
29,0,1,1,1,0,1,0,0,1,11,3,292,19
73,0,0,1,1,1,0,1,0,5,9,1,403,72
13,0,0,0,0,0,0,0,0,0,11,0,201,5
53,0,0,0,0,0,0,0,0,1,8,1,216,7
71,0,0,1,1,0,1,0,0,3,9,0,432,6
74,0,0,1,1,1,1,0,1,0,10,0,413,15
16,0,1,0,0,0,0,0,0,1,10,10,253,19
71,0,0,1,0,0,0,0,0,0,9,1,222,5
73,0,0,1,1,0,0,0,0,0,11,2,260,13
81,0,0,1,1,1,1,1,0,3,7,1,563,29
73,0,0,1,0,1,1,1,0,1,7,0,308,26
12,1,0,1,0,1,1,1,0,8,10,0,508,54
15,1,1,0,0,0,1,0,0,0,14,1,358,8
81,1,1,1,0,0,0,0,0,0,11,0,265,20
71,0,0,1,0,1,1,0,0,0,14,0,251,10
73,0,1,1,0,1,1,1,0,1,11,2,271,30
71,1,0,1,1,1,1,0,0,2,13,0,351,13
73,0,1,0,0,0,0,0,0,3,8,0,680,10
29,0,1,1,0,1,0,1,0,0,10,2,279,22
78,0,1,1,1,0,1,1,0,2,8,1,353,9
9,1,0,1,0,0,0,0,0,0,15,0,618,6
76,0,1,0,1,1,0,1,0,0,9,0,242,21
6,0,1,0,0,0,1,0,0,0,10,0,365,11
74,0,0,1,0,0,0,0,0,0,8,0,212,3
2,0,0,1,0,1,1,0,0,0,10,2,256,53
79,0,0,1,0,0,0,0,0,0,10,0,229,4
76,0,1,0,1,0,1,0,0,0,8,0,315,4
71,0,1,1,0,0,0,0,0,1,9,2,256,13
7,1,0,1,0,0,0,0,0,2,9,0,220,2
71,0,1,0,0,0,0,1,0,0,9,27,274,34
79,0,0,1,1,0,1,0,0,0,11,0,422,9
81,0,0,1,0,0,1,0,0,0,12,0,261,15
75,0,0,0,1,0,1,0,0,0,12,1,302,12
64,0,0,0,1,0,0,0,0,12,8,0,365,4
80,0,0,1,0,0,0,0,0,0,12,0,241,8
75,1,0,1,0,0,1,0,0,0,8,0,510,4
47,0,1,1,0,0,0,0,0,0,9,0,247,8
72,0,1,1,0,0,1,0,0,0,12,1,258,16
73,1,1,1,0,0,0,1,0,2,11,3,276,6
29,0,0,0,0,0,0,0,0,0,12,1,321,14
79,0,0,1,0,0,0,0,0,0,12,0,328,8
77,0,0,1,0,0,0,0,0,0,12,0,239,9
72,0,0,1,0,0,0,0,0,0,11,0,295,5
74,0,0,1,0,1,1,1,0,6,12,1,394,26
73,0,0,1,0,0,1,0,0,0,12,0,324,12
75,0,0,0,0,1,1,1,0,7,8,0,368,24
72,0,0,1,0,0,0,0,0,0,16,0,335,4
76,0,0,1,1,1,1,1,0,0,11,0,376,15
76,0,0,1,0,0,1,0,0,0,9,0,296,8
40,0,0,1,0,1,0,1,0,0,11,0,237,15
70,0,0,1,0,0,0,0,0,0,8,0,209,7
79,0,0,0,0,0,0,0,0,2,8,0,806,6
71,0,0,1,0,1,1,1,0,0,12,1,289,26
73,1,0,1,1,0,1,0,0,0,7,0,299,9
73,0,0,0,1,0,1,0,0,0,10,0,308,12
71,0,0,1,0,0,1,0,0,1,6,0,355,42
73,0,0,1,0,0,0,0,0,0,9,0,253,9
71,0,0,0,0,0,1,0,0,1,10,1,329,3
9,0,0,1,0,1,1,1,0,2,10,3,373,55
15,0,0,1,0,0,0,0,0,0,9,0,212,5
76,0,0,1,0,1,1,0,1,2,9,0,547,44
71,0,0,1,1,1,1,1,0,1,9,1,336,29
76,0,0,0,1,0,0,0,0,0,7,0,321,5
75,0,0,1,0,1,0,1,0,1,11,1,331,36
70,0,0,1,0,1,0,1,0,0,10,4,249,23
23,1,0,1,1,0,0,0,0,9,12,0,571,6
2,1,0,1,0,0,0,0,0,2,12,0,368,11
50,0,1,1,0,1,1,1,0,0,11,1,320,18
70,1,0,1,0,0,0,1,0,0,9,1,263,12
13,0,1,1,0,0,1,0,0,2,8,1,381,35
73,0,0,1,0,0,0,0,0,1,12,2,258,5
28,1,0,1,1,0,1,0,0,3,8,0,301,7
72,1,0,0,0,0,0,0,0,0,11,0,521,6
74,0,0,0,1,0,0,0,0,2,8,1,354,113
70,1,0,0,0,0,0,0,0,0,8,1,280,9
80,0,1,0,0,0,1,0,0,0,14,4,320,15
77,0,0,1,0,0,0,0,0,0,12,0,241,9
77,0,0,1,0,1,0,1,0,0,9,0,239,21
71,0,0,1,1,1,0,0,1,0,11,0,279,5
77,0,1,1,0,0,1,0,0,0,8,2,471,12
74,0,1,0,1,0,1,0,0,4,9,2,493,11
34,0,1,1,0,0,0,0,0,3,8,5,288,32
74,1,0,1,1,1,1,1,0,0,10,0,335,29
77,0,1,1,0,1,1,1,0,2,9,2,339,38
23,1,0,1,0,0,1,0,1,4,12,0,389,37
15,0,0,1,1,1,1,1,0,4,9,2,374,54
24,0,0,1,0,1,0,1,0,0,12,0,423,9
63,0,0,0,1,0,1,0,0,1,8,2,282,6
77,0,0,1,0,1,0,1,0,0,9,1,251,10
77,0,0,1,1,0,0,0,0,0,9,1,259,7
19,0,0,1,0,0,0,0,0,0,11,0,237,8
77,0,0,1,1,0,0,0,0,0,12,1,249,7
8,0,0,1,0,1,1,1,0,0,8,3,238,43
55,1,0,1,0,0,0,0,0,2,8,0,294,6
80,0,0,1,0,0,0,0,0,0,11,2,274,17
78,0,0,1,0,1,1,0,0,0,8,0,251,21
14,1,1,1,0,0,1,0,0,0,9,0,380,6
72,0,0,1,1,1,1,1,0,0,10,0,310,8
80,1,0,1,0,0,0,0,0,0,13,0,284,6
21,0,1,1,0,0,0,0,0,4,10,5,294,50
73,1,0,0,0,1,0,1,0,1,14,4,295,40
72,0,0,1,0,1,0,0,0,1,8,0,302,15
73,1,0,1,0,1,1,1,0,0,11,4,349,31
71,1,0,0,0,0,0,0,0,1,8,1,376,11
76,0,0,1,0,1,1,1,0,6,8,2,462,58
13,0,0,1,0,1,0,1,0,0,8,3,238,30
76,0,0,0,0,1,1,1,0,1,12,2,387,34
71,0,0,1,1,1,0,1,0,0,9,1,314,20
13,1,1,1,1,1,1,0,1,1,9,0,364,75
23,1,0,1,0,0,0,0,0,1,9,0,512,6
75,0,0,1,0,1,1,1,0,1,4,2,264,14
54,0,1,1,0,0,0,0,0,0,7,2,230,14
70,1,0,0,0,0,1,0,0,0,10,0,282,7
21,0,0,1,0,0,1,0,0,0,7,0,338,7
14,0,0,1,0,0,1,0,0,0,9,0,234,5
6,0,0,0,0,1,0,1,0,2,9,0,247,16
18,1,0,0,1,0,1,0,0,0,9,1,283,5
77,0,1,0,0,0,0,0,0,0,11,0,255,6
76,1,0,1,0,1,0,1,0,10,9,3,273,35
72,0,0,0,0,0,0,0,0,0,10,0,247,5
81,0,0,1,1,0,0,0,0,0,12,0,288,28
21,1,0,1,1,0,1,0,0,3,7,0,334,4
70,1,0,0,0,0,0,0,0,0,8,0,380,9
76,1,1,1,0,0,1,0,0,0,15,0,506,7
81,0,1,0,0,0,1,0,0,2,11,2,554,11
6,1,0,0,1,1,1,0,1,4,10,3,458,104
78,0,1,0,0,0,1,0,1,0,10,2,275,17
70,0,0,1,0,1,1,0,1,2,11,5,411,25
17,0,0,1,0,0,0,1,0,0,9,1,202,7
72,0,0,1,0,1,0,1,0,0,12,0,253,8
74,0,0,0,0,0,1,0,0,6,9,1,309,6
73,1,0,1,0,0,0,0,0,1,11,0,426,5
71,0,0,0,0,0,0,0,0,1,11,0,378,5
19,1,1,0,0,0,0,0,0,0,10,0,226,6
78,0,0,0,0,0,0,0,0,0,9,10,279,15
76,0,0,1,1,0,1,0,0,0,7,0,425,43
70,1,0,1,0,0,1,0,0,0,18,0,473,8
34,0,0,1,0,1,1,1,0,0,12,1,257,19
76,1,0,1,1,0,1,0,0,0,14,0,423,4
76,0,0,1,0,1,1,1,0,0,10,0,276,21
28,0,0,0,0,0,0,0,0,0,14,0,327,5
77,0,1,0,0,0,0,0,0,6,1,0,563,6
78,0,1,1,0,1,1,0,0,11,9,0,637,24
14,0,1,0,0,0,0,0,0,6,12,0,720,8
71,1,0,0,0,0,1,0,0,1,12,0,304,11
75,0,0,1,1,1,1,1,0,7,4,0,657,23
77,0,1,0,1,0,0,0,0,0,3,1,477,14
80,0,1,1,1,0,0,0,0,0,10,0,305,6
72,0,0,0,0,0,1,0,0,0,12,3,308,14
3,0,0,1,0,0,1,0,0,10,7,0,477,14
71,0,0,1,1,1,1,0,1,1,9,1,325,35
13,0,0,1,1,0,0,0,0,0,11,0,234,17
81,0,0,1,0,0,1,0,0,0,13,1,263,15
73,0,0,1,1,1,1,1,0,0,13,0,436,26
9,0,1,1,0,1,1,0,0,2,8,0,243,47
73,0,0,1,0,1,1,1,0,0,12,2,276,30
76,0,1,0,1,0,0,0,0,2,3,0,577,11
56,0,1,1,0,0,1,0,0,3,8,0,251,11
71,0,1,1,0,1,1,0,1,0,8,2,470,40
71,0,0,0,0,0,0,0,0,0,11,0,216,6
78,0,1,1,0,1,0,0,1,0,12,0,302,20
2,0,0,0,0,0,0,0,0,0,11,0,245,6
27,0,1,1,1,1,1,0,1,0,10,15,324,146
75,0,0,1,1,1,1,0,1,0,8,0,266,35
74,0,0,1,0,1,1,1,0,1,8,0,353,28
6,1,1,0,0,0,0,0,0,6,12,4,365,20
18,0,0,1,0,1,1,0,1,13,3,2,707,218
72,1,1,1,0,1,1,1,0,6,11,5,323,68
70,0,1,0,0,0,1,1,0,0,12,1,330,16
77,0,1,1,1,0,1,0,0,0,6,0,499,8
33,1,0,1,0,1,1,0,0,2,12,5,384,100
80,0,1,0,1,0,1,0,0,0,5,1,313,11
70,1,0,1,0,0,0,0,0,0,12,0,487,5
4,1,0,1,0,0,0,1,0,3,10,1,353,21
70,0,0,1,0,0,0,0,0,0,11,0,257,7
72,0,0,0,0,0,1,1,0,21,11,0,803,13
43,0,1,1,0,0,0,0,0,0,10,1,293,7
74,0,0,1,0,1,1,0,1,0,2,0,464,21
71,0,1,1,0,1,0,1,0,0,10,5,277,63
71,0,0,1,1,1,1,1,0,7,7,0,685,13
79,0,0,0,0,0,0,0,0,0,11,0,283,5
77,0,0,1,0,1,1,1,0,3,13,0,286,16
4,1,0,1,0,1,0,1,0,1,12,4,359,48
26,0,0,1,0,1,1,1,0,4,10,1,374,21
72,0,0,1,0,1,0,1,0,0,10,1,253,24
80,0,1,1,0,0,0,0,0,0,16,0,307,12
81,0,0,1,0,0,0,0,0,0,10,0,248,4
27,0,0,1,0,0,0,0,0,0,8,1,212,7
37,0,0,0,0,0,0,0,0,0,11,0,315,7
76,0,0,1,0,1,1,1,0,0,9,1,248,18
3,0,1,1,0,0,1,1,0,4,9,1,304,33
70,0,0,0,0,0,1,0,0,3,7,4,285,33
9,0,0,1,0,0,0,0,0,2,12,1,234,10
77,1,0,1,1,0,0,1,0,0,9,2,299,18
71,0,1,1,1,0,0,0,0,0,9,2,261,13
70,0,0,0,1,1,1,1,0,2,10,7,322,107
78,0,0,1,0,1,1,1,0,0,10,1,287,9
70,0,0,1,0,0,0,0,0,0,11,0,215,4
71,0,0,1,0,0,0,0,0,0,11,0,290,29
73,0,0,0,1,1,1,1,0,0,7,0,296,29
78,0,0,1,0,0,1,0,0,1,10,1,278,8
26,0,0,0,0,0,0,1,0,0,7,7,235,25
72,0,1,1,0,0,0,0,0,0,10,2,280,13
15,0,1,1,0,1,0,0,1,3,9,5,279,108
71,1,0,1,1,1,1,1,0,2,7,1,333,14
72,0,0,1,0,1,1,1,0,0,8,3,260,27
80,0,1,1,0,0,0,0,0,0,18,0,528,3
72,1,0,0,1,0,0,0,0,3,12,0,634,5
15,0,0,1,0,1,0,1,0,0,8,1,250,61
73,1,1,1,0,0,0,0,0,0,9,0,224,2
55,1,0,1,1,0,0,0,0,0,11,0,406,3
74,0,1,0,0,1,1,1,0,1,7,10,263,36
10,0,0,0,0,0,0,0,0,0,10,1,230,8
76,0,1,0,0,0,1,0,0,0,7,0,430,14
79,0,1,0,0,0,1,0,0,0,6,0,464,11
74,0,0,1,0,0,1,0,0,1,9,0,423,39
76,0,0,0,0,0,0,0,0,0,8,0,253,4
73,0,0,1,1,1,1,1,0,1,12,0,348,33
73,0,0,1,1,0,1,0,0,1,9,0,455,7
80,0,0,1,0,0,0,0,0,0,9,0,232,9
57,0,1,1,0,1,0,1,0,0,13,0,349,15
16,0,0,1,0,1,1,1,0,1,15,0,335,23
3,0,0,1,0,0,0,0,0,2,12,2,282,14
15,0,0,1,0,0,0,0,0,2,12,0,439,2
7,0,0,1,0,1,1,1,0,0,10,6,268,48
26,0,0,1,1,0,0,0,0,0,12,0,318,4
25,1,0,1,1,0,1,0,0,5,11,3,311,36
73,0,1,1,0,1,1,1,0,0,11,3,309,39
76,0,1,1,1,0,1,0,0,0,8,0,323,13
79,0,0,0,0,0,1,0,0,1,12,0,366,16
71,1,0,0,0,0,1,1,0,2,7,0,383,6
3,1,0,1,1,0,1,0,0,16,3,0,590,4
78,1,0,0,1,0,0,0,0,0,9,1,302,21
27,0,0,1,0,0,0,0,0,0,8,0,227,13
71,1,0,1,0,0,0,0,0,2,7,0,410,9
72,0,0,1,0,1,0,0,0,0,12,5,260,28
76,0,1,0,0,0,0,0,0,0,8,1,474,12
75,0,0,1,1,1,1,0,0,0,12,0,282,9
73,1,0,1,0,0,0,0,0,1,7,0,234,6
76,0,0,1,0,0,1,0,0,1,8,1,327,9
49,0,1,0,1,1,1,1,0,6,12,1,490,40
13,0,0,0,0,0,0,0,0,0,10,1,261,7
71,1,0,1,0,1,1,1,0,4,10,4,323,45
15,0,0,1,0,1,0,1,0,0,9,3,248,25
75,0,0,1,0,1,1,1,0,1,12,1,336,19
75,0,0,1,0,0,1,0,0,0,9,0,280,26
36,0,0,0,0,0,1,0,0,0,12,3,263,21
75,0,0,1,0,0,0,1,0,0,10,0,243,2
79,1,0,1,0,0,0,0,0,0,10,0,258,6
72,0,1,1,1,1,1,1,0,6,6,3,450,51
41,0,0,1,0,1,1,1,0,0,9,2,306,56
80,0,0,1,0,1,0,1,0,1,16,0,343,29
73,0,0,1,0,1,1,1,0,0,12,1,265,22
73,0,1,0,0,0,0,0,0,0,10,1,232,8
5,0,1,1,0,1,1,1,0,2,11,2,362,35
42,0,0,1,1,0,0,0,0,0,9,7,279,32
76,0,0,1,1,0,1,0,0,0,11,0,303,10
76,0,0,1,1,0,0,0,0,0,9,0,248,10
79,0,1,0,0,0,1,0,0,2,9,0,326,6
20,0,1,1,0,1,1,1,0,8,8,0,691,21
77,0,0,0,0,0,0,0,0,0,12,1,323,16
23,0,0,1,1,0,0,0,0,6,7,2,386,44
19,0,0,1,0,0,0,0,0,0,12,1,295,6
54,0,0,1,0,1,1,1,0,1,10,0,290,37
68,0,1,1,0,0,1,0,0,0,6,0,415,10
76,0,0,1,1,1,1,1,0,0,11,0,243,17
71,1,0,1,1,1,1,0,1,3,10,16,380,84
5,0,1,1,0,0,1,0,0,0,14,0,279,16
70,0,1,1,0,1,1,1,0,2,6,0,537,22
12,0,0,0,0,1,1,1,0,0,11,3,266,23
13,0,0,1,0,1,1,0,1,2,9,4,254,78
73,0,0,1,0,1,0,1,0,1,18,0,434,12
79,0,0,0,0,1,0,1,0,6,7,0,467,67
50,0,0,0,0,1,1,1,0,2,10,1,290,42
80,0,1,0,0,0,0,0,0,1,8,0,634,5
73,0,0,1,0,0,1,0,0,1,10,3,230,12
71,0,1,1,1,1,0,0,1,0,4,4,578,20
22,0,0,0,1,0,0,0,0,3,9,0,362,12
5,0,1,0,0,1,1,1,0,13,6,6,436,64
3,0,0,1,0,0,0,0,0,0,10,0,258,9
7,0,0,1,1,1,0,1,0,0,10,1,295,29
77,1,1,0,1,0,1,0,0,0,13,0,331,4
71,0,0,1,0,0,0,0,0,0,9,2,246,18
49,0,0,1,0,1,0,1,0,0,9,2,325,22
70,0,0,0,0,1,1,1,0,1,11,7,393,78
70,0,0,0,1,0,1,0,0,0,2,0,694,8
78,0,0,0,0,0,1,0,0,1,8,1,232,13
13,1,0,1,0,0,1,1,0,2,10,1,248,44
1,0,1,0,0,0,0,0,0,0,10,6,228,8
78,0,0,0,0,0,0,0,0,0,9,0,200,4
70,0,0,1,0,0,0,0,0,1,12,1,330,4
73,1,1,0,0,0,0,0,0,2,7,0,335,13
10,1,0,1,1,0,1,0,0,1,12,1,321,17
39,1,0,0,0,0,1,0,0,7,8,3,433,7
5,1,0,1,0,1,0,1,0,3,11,2,247,19
70,1,0,1,0,0,0,0,0,3,2,0,426,4
79,0,0,1,0,1,0,1,0,1,10,3,275,33
71,1,0,1,0,0,1,0,0,4,6,1,550,8
73,0,0,1,0,1,1,0,1,0,8,0,421,20
76,0,0,0,1,1,1,1,0,4,10,2,463,89
75,0,0,1,0,0,0,0,0,0,4,0,347,6
15,0,0,0,0,1,0,0,0,7,9,7,335,45
75,0,0,1,1,1,0,1,0,0,14,1,372,45
72,0,0,1,0,0,0,0,0,0,9,0,229,7
80,0,0,1,1,0,1,0,0,6,9,0,387,7
72,0,0,0,1,1,0,0,1,0,12,3,327,44
78,0,1,0,0,0,0,0,0,0,6,0,270,5
70,0,0,1,0,0,1,0,0,0,16,0,307,6
35,1,0,1,0,0,1,0,0,1,9,0,402,4
18,0,0,1,0,0,0,0,0,5,9,0,397,4
3,1,1,1,1,1,0,1,0,0,8,13,294,84
